order_date,order_platform,order_revenue_source,order_sale_type,order_country,order_state,customer_type,order_discount_code,num_orders,order_revenue,order_refund,item_quantity
12/3/22,Amazon,Amazon,DTC,Israel,Unknown,New,Duplicated A3ju1fcinf5sd0 1569460229772,1,22.0570355,0,1
2/2/23,Amazon,Amazon,DTC,United States Of America,CA,New,,12,273.1443623,0,13
10/22/22,Amazon,Amazon,DTC,United States Of America,ME,Existing,,1,23.62115206,0,1
11/26/22,Amazon,Amazon,DTC,Singapore,Unknown,New,,5,136.2698662,0,5
10/9/22,Amazon,Amazon,DTC,United States Of America,CA,New,,38,902.5441773,0,38
9/12/22,Amazon,Amazon,DTC,United States Of America,CA,Existing,,14,344.8140583,0,14
12/2/22,Amazon,Amazon,DTC,United States Of America,KS,New,,1,22.0570355,0,1
12/25/22,Amazon,Amazon,DTC,United Arab Emirates,Unknown,New,,1,24.34538144,0,1
10/21/22,Amazon,Amazon,DTC,United States Of America,ND,New,,1,23.62115206,0,1
1/24/23,Amazon,Amazon,DTC,United States Of America,WI,Existing,,1,38.4016419,0,1
1/25/23,Amazon,Amazon,DTC,United States Of America,TX,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,38.4016419,0,1
10/10/22,Amazon,Amazon,DTC,United States Of America,FL,Existing,,3,64.55104726,0,3
1/25/23,Amazon,Amazon,DTC,United States Of America,HI,Existing,,1,38.4016419,0,1
12/29/22,Amazon,Amazon,DTC,Singapore,Unknown,New,,1,28.46916322,0,1
3/2/23,Amazon,Amazon,DTC,Canada,Unknown,New,,27,611.692155,0,27
2/23/23,Amazon,Amazon,DTC,United States Of America,AZ,New,,1,22.00383599,0,1
2/23/23,Amazon,Amazon,DTC,United States Of America,NC,New,,1,22.00383599,0,1
2/24/23,Amazon,Amazon,DTC,United States Of America,NM,New,,1,44.00767198,0,2
2/24/23,Amazon,Amazon,DTC,United States Of America,IN,New,,2,44.00767198,0,2
11/16/22,Amazon,Amazon,DTC,New Zealand,Unknown,New,,1,55.88744744,0,2
1/2/23,Amazon,Amazon,DTC,United States Of America,NJ,New,,3,65.99983076,0,3
12/28/22,Amazon,Amazon,DTC,United States Of America,CA,New,,8,240.1549627,0,10
12/21/22,Amazon,Amazon,DTC,United States Of America,IL,New,,4,89.5544572,0,4
10/5/22,Amazon,Amazon,DTC,United States Of America,AL,New,,2,47.51341865,0,2
10/3/22,Amazon,Amazon,DTC,United States Of America,VA,Existing,,1,23.35290601,0,1
10/2/22,Amazon,Amazon,DTC,United States Of America,SC,Existing,,1,23.35290601,0,1
2/24/23,Amazon,Amazon,DTC,United States Of America,ND,Existing,,1,22.00383599,0,1
2/23/23,Amazon,Amazon,DTC,United States Of America,CT,New,,1,22.00383599,0,1
2/23/23,Amazon,Amazon,DTC,United States Of America,ND,Existing,,2,44.00767198,0,2
2/22/23,Amazon,Amazon,DTC,Canada,Unknown,Existing,Ca Core Free Shipping  A1mktv4oyo2hj1,1,20.3158579,0,1
